Comment,Gopinath-num,Gopinath1896-img,Gopinath1914-img,Kosambi
,59,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-128.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-122.jpg,69
,60,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-129.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-123.jpg,62
,61,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-130.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-124.jpg,32
,62,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-131.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-125.jpg,43
,63,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-132.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-126.jpg,14
,64,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-133.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-127.jpg,275
,65,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-134.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-128.jpg,72
,66,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-135.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-129.jpg,335
,67,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-136.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-130.jpg,33
,68,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-137.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-131.jpg,279
,69,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-138.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-132.jpg,223
,70,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-139.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-133.jpg,36
,71,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-140.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-134.jpg,63
,72,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-141.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-135.jpg,54
,73,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-142.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-136.jpg,31
,74,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-143.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-137.jpg,64
,75,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-144.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-138.jpg,221
,76,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-145.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-139.jpg,28
,77,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-146.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-140.jpg,20
,78,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-147.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-141.jpg,44
,79,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-148.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-142.jpg,19
,80,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-149.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-143.jpg,454
,81,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-150.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-144.jpg,52
,82,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-151.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-145.jpg,21
,83,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-152.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-146.jpg,41
,84,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-153.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-147.jpg,265
,85,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-154.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-148.jpg,26
,86,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-155.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-149.jpg,216
,87,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-156.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-150.jpg,246
,88,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-157.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-151.jpg,49
,89,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-158.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-152.jpg,228
,90,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-159.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-153.jpg,39
,91,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-160.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-154.jpg,240
,92,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-161.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-155.jpg,342
,93,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-162.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-156.jpg,590
,94,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-163.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-157.jpg,22
,95,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-164.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-158.jpg,285
,96,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-165.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-159.jpg,40
,97,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-166.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-160.jpg,46
,98,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-167.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-161.jpg,29
,99,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-168.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-162.jpg,45
,100,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-169.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-163.jpg,343
,101,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-170.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-164.jpg,48
,102,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-171.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-165.jpg,47
,103,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-172.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-166.jpg,468
,104,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-173.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-167.jpg,270
,105,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-174.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-168.jpg,206
,106,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-175.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-169.jpg,226
,107,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-176.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-170.jpg,230
,108,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-177.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-171.jpg,220
,109,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-178.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-172.jpg,324
,110,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-179.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-173.jpg,318
(atha śrṅgāra),111,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-180.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-174.jpg,
(blank page),112,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-181.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-175.jpg,
,113,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-182.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-176.jpg,112
,114,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-183.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-177.jpg,79
,115,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-184.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-178.jpg,92
,116,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-185.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-179.jpg,89
,117,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-186.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-180.jpg,90
(continued),118,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-187.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-181.jpg,
,119,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-188.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-182.jpg,93
,120,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-189.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-183.jpg,107
